Day,P5,P25,P50,P75,P95
177,308.72111137376083,312.2982728940655,315.3316769010096,317.8330779123971,321.3886865743147
178,308.7409344645605,312.3164130790131,315.39627888208213,317.8909438154293,321.5300135969797
179,308.7336523851694,312.210957352939,315.37167853658025,317.88996256199204,321.4363468746064
180,308.7042549369949,312.2477153971578,315.2774778242143,317.9157447344988,321.6726389476779
181,308.89693115316913,312.3632211117259,315.3514502197728,318.00568795675673,321.6478333590974
182,308.901359727799,312.4362635511483,315.36498270350637,318.1088331533491,321.87851108063234
183,308.8309851628393,312.42376486544754,315.3257815929476,318.11626218881287,321.770507700566
184,308.5461875772266,312.4684203162454,315.3489424238303,318.1252489996857,322.1064801385525
185,308.55037180364553,312.5070725417096,315.3231088373541,318.00012009682973,321.9356042325383
186,308.7791385275427,312.4819535344806,315.30043404036417,318.05748821035365,321.92251076497115
187,308.88775636531614,312.43491514511976,315.2512513011884,317.9910420848933,322.1547374494892
188,308.9878236687763,312.4585106377118,315.25172772725693,317.8639485749,322.00607133405924
189,308.9886138388207,312.5068781740142,315.3104549381782,317.9576437779367,321.9766681724976
190,309.00147510247535,312.41806263792125,315.378746259126,317.95199886556316,322.2123683913995
191,308.7935579721158,312.467648284848,315.3118230936659,317.98760349651525,322.069653264154
192,308.6469096277053,312.3843900990715,315.34597542006804,317.96520140997166,322.16829362068455
193,308.82734399954376,312.4038095806518,315.19941193501336,317.85302688473615,322.296027504923
194,308.8460533424732,312.3458588598987,315.18200294362987,317.8127215459748,322.0354536215195
195,308.7721805296923,312.3110121651685,315.2444529957063,317.8257555013305,321.9559935883503
196,308.708158538119,312.3830761085791,315.294158742819,317.78578215371977,321.85146388862165
197,308.4398211216441,312.33487112244853,315.3378297620044,317.84132024034375,321.939829326647
198,308.48632894637404,312.2675409305075,315.29136170562913,317.8534976488054,321.99122381224555
199,308.29430356112323,312.3424662092707,315.15061903184574,317.9077765120633,321.93464424368915
200,308.5925267081014,312.45594895432373,315.0802224437941,317.963146672905,321.9939582619379
201,308.67074555939223,312.33225926680535,315.25203261939726,318.0835109623281,321.8613895820715
202,308.25875534052705,312.21320466094136,315.19395508543926,318.2119077733815,321.67988100226404
203,308.5892424789785,312.2310670366351,315.231391593236,318.041000088489,321.9487701996036
204,308.38707971734766,312.2675793392296,315.2643820431327,318.0439982575252,322.0216374242552
205,308.53972545919925,312.3155257021317,315.234601007753,318.1903721026386,322.040161292583
